[2026-03-31T15:42:24.893+0000] {subprocess.py:93} INFO - INFO:root:Fetching poliwrath from https://pokeapi.co/api/v2/pokemon/62/
[2026-03-31T15:42:24.911+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.914+0000] {subprocess.py:93} INFO - INFO:root:Fetching abra from https://pokeapi.co/api/v2/pokemon/63/
[2026-03-31T15:42:24.917+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.920+0000] {subprocess.py:93} INFO - INFO:root:Fetching kadabra from https://pokeapi.co/api/v2/pokemon/64/
[2026-03-31T15:42:24.922+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.925+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.928+0000] {subprocess.py:93} INFO - INFO:root:Fetching alakazam from https://pokeapi.co/api/v2/pokemon/65/
[2026-03-31T15:42:24.929+0000] {subprocess.py:93} INFO - INFO:root:Fetching machop from https://pokeapi.co/api/v2/pokemon/66/
[2026-03-31T15:42:24.939+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.942+0000] {subprocess.py:93} INFO - INFO:root:Fetching machoke from https://pokeapi.co/api/v2/pokemon/67/
[2026-03-31T15:42:24.946+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.949+0000] {subprocess.py:93} INFO - INFO:root:Fetching machamp from https://pokeapi.co/api/v2/pokemon/68/
[2026-03-31T15:42:24.970+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.974+0000] {subprocess.py:93} INFO - INFO:root:Fetching bellsprout from https://pokeapi.co/api/v2/pokemon/69/
[2026-03-31T15:42:24.975+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.980+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:24.983+0000] {subprocess.py:93} INFO - INFO:root:Fetching weepinbell from https://pokeapi.co/api/v2/pokemon/70/
[2026-03-31T15:42:24.984+0000] {subprocess.py:93} INFO - INFO:root:Fetching victreebel from https://pokeapi.co/api/v2/pokemon/71/
[2026-03-31T15:42:25.025+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.028+0000] {subprocess.py:93} INFO - INFO:root:Fetching tentacool from https://pokeapi.co/api/v2/pokemon/72/
[2026-03-31T15:42:25.041+0000] {subprocess.py:93} INFO - INFO:root:End point call successful
[2026-03-31T15:42:25.044+0000] {subprocess.py:93} INFO - INFO:root:Fetching tentacruel from https://pokeapi.co/api/v2/pokemon/73/
